Sex;Diagnosis;ageGroup;Year;Numbers;Crude Rate;ASR(W);ASR(E);ASR(N);Cumulative Risk
men;Bladder;65-69;2009;124;102,70;102,70;102,70;102,70;0,51
men;Bladder;65-69;2010;109;85,30;85,30;85,30;85,30;0,43
men;Bladder;65-69;2011;119;86,60;86,60;86,60;86,60;0,43
men;Bladder;65-69;2012;143;95,60;95,60;95,60;95,60;0,48
men;Bladder;65-69;2013;148;90,30;90,30;90,30;90,30;0,45
men;Bladder;65-69;2014;151;86,30;86,30;86,30;86,30;0,43
men;Bladder;65-69;2015;140;77,30;77,30;77,30;77,30;0,39
men;Bladder;65-69;2016;169;93,40;93,40;93,40;93,40;0,47
men;Bladder;70-74;1953;15;47,70;47,70;47,70;47,70;0,24
men;Bladder;70-74;1954;12;37,80;37,80;37,80;37,80;0,19
men;Bladder;70-74;1955;17;52,50;52,50;52,50;52,50;0,26
men;Bladder;70-74;1956;8;24,20;24,20;24,20;24,20;0,12
men;Bladder;70-74;1957;19;56,40;56,40;56,40;56,40;0,28
men;Bladder;70-74;1958;25;72,90;72,90;72,90;72,90;0,36
men;Bladder;70-74;1959;25;71,50;71,50;71,50;71,50;0,36
men;Bladder;70-74;1960;16;44,90;44,90;44,90;44,90;0,22
men;Bladder;70-74;1961;25;68,90;68,90;68,90;68,90;0,34
men;Bladder;70-74;1962;25;67,70;67,70;67,70;67,70;0,34
men;Bladder;70-74;1963;14;37,20;37,20;37,20;37,20;0,19
men;Bladder;70-74;1964;31;81,20;81,20;81,20;81,20;0,41
men;Bladder;70-74;1965;23;59,40;59,40;59,40;59,40;0,30
men;Bladder;70-74;1966;30;75,60;75,60;75,60;75,60;0,38
men;Bladder;70-74;1967;40;97,40;97,40;97,40;97,40;0,49
men;Bladder;70-74;1968;27;63,60;63,60;63,60;63,60;0,32
men;Bladder;70-74;1969;38;86,70;86,70;86,70;86,70;0,43
men;Bladder;70-74;1970;49;108,30;108,30;108,30;108,30;0,54
men;Bladder;70-74;1971;34;72,70;72,70;72,70;72,70;0,36
men;Bladder;70-74;1972;45;92,40;92,40;92,40;92,40;0,46
men;Bladder;70-74;1973;61;121,10;121,10;121,10;121,10;0,60
men;Bladder;70-74;1974;57;109,80;109,80;109,80;109,80;0,55
men;Bladder;70-74;1975;68;127,10;127,10;127,10;127,10;0,63
men;Bladder;70-74;1976;63;114,30;114,30;114,30;114,30;0,57
men;Bladder;70-74;1977;67;117,20;117,20;117,20;117,20;0,58
men;Bladder;70-74;1978;75;126,60;126,60;126,60;126,60;0,63
men;Bladder;70-74;1979;78;127,40;127,40;127,40;127,40;0,64
men;Bladder;70-74;1980;79;125,10;125,10;125,10;125,10;0,62
men;Bladder;70-74;1981;86;132,70;132,70;132,70;132,70;0,66
men;Bladder;70-74;1982;107;162,10;162,10;162,10;162,10;0,81
men;Bladder;70-74;1983;92;138,60;138,60;138,60;138,60;0,69
men;Bladder;70-74;1984;94;142,40;142,40;142,40;142,40;0,71
men;Bladder;70-74;1985;78;119,70;119,70;119,70;119,70;0,60
men;Bladder;70-74;1986;93;146,20;146,20;146,20;146,20;0,73
men;Bladder;70-74;1987;96;154,60;154,60;154,60;154,60;0,77
men;Bladder;70-74;1988;90;146,70;146,70;146,70;146,70;0,73
men;Bladder;70-74;1989;85;141,60;141,60;141,60;141,60;0,71
men;Bladder;70-74;1990;94;156,70;156,70;156,70;156,70;0,78
men;Bladder;70-74;1991;104;166,80;166,80;166,80;166,80;0,83
men;Bladder;70-74;1992;115;178,20;178,20;178,20;178,20;0,89
men;Bladder;70-74;1993;113;168,70;168,70;168,70;168,70;0,84
men;Bladder;70-74;1994;118;166,50;166,50;166,50;166,50;0,83
men;Bladder;70-74;1995;140;188,20;188,20;188,20;188,20;0,94
men;Bladder;70-74;1996;132;171,50;171,50;171,50;171,50;0,85
men;Bladder;70-74;1997;128;160,20;160,20;160,20;160,20;0,80
men;Bladder;70-74;1998;128;154,60;154,60;154,60;154,60;0,77
men;Bladder;70-74;1999;122;143,20;143,20;143,20;143,20;0,71
men;Bladder;70-74;2000;122;139,60;139,60;139,60;139,60;0,70
men;Bladder;70-74;2001;126;141,30;141,30;141,30;141,30;0,70
men;Bladder;70-74;2002;99;109,70;109,70;109,70;109,70;0,55
men;Bladder;70-74;2003;115;127,70;127,70;127,70;127,70;0,64
men;Bladder;70-74;2004;104;116,00;116,00;116,00;116,00;0,58
men;Bladder;70-74;2005;122;135,40;135,40;135,40;135,40;0,67
men;Bladder;70-74;2006;125;137,90;137,90;137,90;137,90;0,69
men;Bladder;70-74;2007;100;108,80;108,80;108,80;108,80;0,54
men;Bladder;70-74;2008;133;139,90;139,90;139,90;139,90;0,70
men;Bladder;70-74;2009;139;140,50;140,50;140,50;140,50;0,70
men;Bladder;70-74;2010;140;139,40;139,40;139,40;139,40;0,69
men;Bladder;70-74;2011;149;143,10;143,10;143,10;143,10;0,71
men;Bladder;70-74;2012;150;140,30;140,30;140,30;140,30;0,70
men;Bladder;70-74;2013;150;140,70;140,70;140,70;140,70;0,70
men;Bladder;70-74;2014;143;132,00;132,00;132,00;132,00;0,66
men;Bladder;70-74;2015;165;143,70;143,70;143,70;143,70;0,72
men;Bladder;70-74;2016;161;130,10;130,10;130,10;130,10;0,65
men;Bladder;75-79;1953;14;76,50;76,50;76,50;76,50;0,38
men;Bladder;75-79;1954;19;103,00;103,00;103,00;103,00;0,51
men;Bladder;75-79;1955;13;69,10;69,10;69,10;69,10;0,35
men;Bladder;75-79;1956;9;47,00;47,00;47,00;47,00;0,23
men;Bladder;75-79;1957;12;61,50;61,50;61,50;61,50;0,31
men;Bladder;75-79;1958;12;60,30;60,30;60,30;60,30;0,30
men;Bladder;75-79;1959;6;29,60;29,60;29,60;29,60;0,15
men;Bladder;75-79;1960;9;43,60;43,60;43,60;43,60;0,22
men;Bladder;75-79;1961;11;52,40;52,40;52,40;52,40;0,26
men;Bladder;75-79;1962;14;65,50;65,50;65,50;65,50;0,33
men;Bladder;75-79;1963;17;78,20;78,20;78,20;78,20;0,39
men;Bladder;75-79;1964;24;108,80;108,80;108,80;108,80;0,54
men;Bladder;75-79;1965;16;71,70;71,70;71,70;71,70;0,36
men;Bladder;75-79;1966;23;101,30;101,30;101,30;101,30;0,51
men;Bladder;75-79;1967;31;133,60;133,60;133,60;133,60;0,67
men;Bladder;75-79;1968;24;101,10;101,10;101,10;101,10;0,50
men;Bladder;75-79;1969;28;115,40;115,40;115,40;115,40;0,58
men;Bladder;75-79;1970;31;125,10;125,10;125,10;125,10;0,62
men;Bladder;75-79;1971;23;89,90;89,90;89,90;89,90;0,45
men;Bladder;75-79;1972;26;99,10;99,10;99,10;99,10;0,49
men;Bladder;75-79;1973;37;136,30;136,30;136,30;136,30;0,68
men;Bladder;75-79;1974;36;125,90;125,90;125,90;125,90;0,63
men;Bladder;75-79;1975;41;137,70;137,70;137,70;137,70;0,69
men;Bladder;75-79;1976;48;154,70;154,70;154,70;154,70;0,77
men;Bladder;75-79;1977;52;160,20;160,20;160,20;160,20;0,80
men;Bladder;75-79;1978;41;121,70;121,70;121,70;121,70;0,61
men;Bladder;75-79;1979;62;177,80;177,80;177,80;177,80;0,89
men;Bladder;75-79;1980;63;174,60;174,60;174,60;174,60;0,87
men;Bladder;75-79;1981;64;171,20;171,20;171,20;171,20;0,85
men;Bladder;75-79;1982;67;171,40;171,40;171,40;171,40;0,85
men;Bladder;75-79;1983;74;181,40;181,40;181,40;181,40;0,90
men;Bladder;75-79;1984;78;183,50;183,50;183,50;183,50;0,91
men;Bladder;75-79;1985;92;208,60;208,60;208,60;208,60;1,04
men;Bladder;75-79;1986;87;191,70;191,70;191,70;191,70;0,95
men;Bladder;75-79;1987;92;198,20;198,20;198,20;198,20;0,99
men;Bladder;75-79;1988;110;235,30;235,30;235,30;235,30;1,17
men;Bladder;75-79;1989;97;207,70;207,70;207,70;207,70;1,03
men;Bladder;75-79;1990;86;185,10;185,10;185,10;185,10;0,92
men;Bladder;75-79;1991;101;220,80;220,80;220,80;220,80;1,10
men;Bladder;75-79;1992;91;202,70;202,70;202,70;202,70;1,01
men;Bladder;75-79;1993;100;224,60;224,60;224,60;224,60;1,12
men;Bladder;75-79;1994;101;230,50;230,50;230,50;230,50;1,15
men;Bladder;75-79;1995;93;210,60;210,60;210,60;210,60;1,05
men;Bladder;75-79;1996;111;239,80;239,80;239,80;239,80;1,19
men;Bladder;75-79;1997;117;242,40;242,40;242,40;242,40;1,20
men;Bladder;75-79;1998;116;229,70;229,70;229,70;229,70;1,14
men;Bladder;75-79;1999;134;249,50;249,50;249,50;249,50;1,24
men;Bladder;75-79;2000;113;199,10;199,10;199,10;199,10;0,99
men;Bladder;75-79;2001;115;194,20;194,20;194,20;194,20;0,97
men;Bladder;75-79;2002;119;192,50;192,50;192,50;192,50;0,96
men;Bladder;75-79;2003;145;224,70;224,70;224,70;224,70;1,12
men;Bladder;75-79;2004;131;195,20;195,20;195,20;195,20;0,97
men;Bladder;75-79;2005;135;194,50;194,50;194,50;194,50;0,97
men;Bladder;75-79;2006;140;195,70;195,70;195,70;195,70;0,97
men;Bladder;75-79;2007;149;204,00;204,00;204,00;204,00;1,01
men;Bladder;75-79;2008;127;172,90;172,90;172,90;172,90;0,86
men;Bladder;75-79;2009;141;191,70;191,70;191,70;191,70;0,95
men;Bladder;75-79;2010;131;176,40;176,40;176,40;176,40;0,88
men;Bladder;75-79;2011;129;171,70;171,70;171,70;171,70;0,85
men;Bladder;75-79;2012;154;201,00;201,00;201,00;201,00;1,00
men;Bladder;75-79;2013;172;216,00;216,00;216,00;216,00;1,07
men;Bladder;75-79;2014;173;208,00;208,00;208,00;208,00;1,03
men;Bladder;75-79;2015;181;213,80;213,80;213,80;213,80;1,06
men;Bladder;75-79;2016;195;221,60;221,60;221,60;221,60;1,10
men;Bladder;80-84;1953;7;91,30;91,30;91,30;91,30;0,46
men;Bladder;80-84;1954;4;51,70;51,70;51,70;51,70;0,26
men;Bladder;80-84;1955;8;100,60;100,60;100,60;100,60;0,50
men;Bladder;80-84;1956;7;85,70;85,70;85,70;85,70;0,43
men;Bladder;80-84;1957;11;131,20;131,20;131,20;131,20;0,65
men;Bladder;80-84;1958;7;81,50;81,50;81,50;81,50;0,41
men;Bladder;80-84;1959;9;102,40;102,40;102,40;102,40;0,51
men;Bladder;80-84;1960;4;44,40;44,40;44,40;44,40;0,22
men;Bladder;80-84;1961;9;97,60;97,60;97,60;97,60;0,49
men;Bladder;80-84;1962;5;53,20;53,20;53,20;53,20;0,27
men;Bladder;80-84;1963;15;157,30;157,30;157,30;157,30;0,78
men;Bladder;80-84;1964;15;155,80;155,80;155,80;155,80;0,78
men;Bladder;80-84;1965;17;176,10;176,10;176,10;176,10;0,88
men;Bladder;80-84;1966;8;81,40;81,40;81,40;81,40;0,41
men;Bladder;80-84;1967;15;147,90;147,90;147,90;147,90;0,74
men;Bladder;80-84;1968;13;124,40;124,40;124,40;124,40;0,62
men;Bladder;80-84;1969;13;120,90;120,90;120,90;120,90;0,60
men;Bladder;80-84;1970;11;99,40;99,40;99,40;99,40;0,50
men;Bladder;80-84;1971;14;122,40;122,40;122,40;122,40;0,61
men;Bladder;80-84;1972;23;195,90;195,90;195,90;195,90;0,97
men;Bladder;80-84;1973;7;58,40;58,40;58,40;58,40;0,29
men;Bladder;80-84;1974;15;121,50;121,50;121,50;121,50;0,61
men;Bladder;80-84;1975;22;169,60;169,60;169,60;169,60;0,84
men;Bladder;80-84;1976;20;147,10;147,10;147,10;147,10;0,73
men;Bladder;80-84;1977;30;213,70;213,70;213,70;213,70;1,06
men;Bladder;80-84;1978;29;196,50;196,50;196,50;196,50;0,98
men;Bladder;80-84;1979;33;209,40;209,40;209,40;209,40;1,04
men;Bladder;80-84;1980;47;283,30;283,30;283,30;283,30;1,41
men;Bladder;80-84;1981;39;223,60;223,60;223,60;223,60;1,11
men;Bladder;80-84;1982;31;168,00;168,00;168,00;168,00;0,84
men;Bladder;80-84;1983;40;207,20;207,20;207,20;207,20;1,03
men;Bladder;80-84;1984;32;159,20;159,20;159,20;159,20;0,79
men;Bladder;80-84;1985;60;287,70;287,70;287,70;287,70;1,43
men;Bladder;80-84;1986;41;189,10;189,10;189,10;189,10;0,94
men;Bladder;80-84;1987;53;232,60;232,60;232,60;232,60;1,16
men;Bladder;80-84;1988;71;296,70;296,70;296,70;296,70;1,47
men;Bladder;80-84;1989;64;254,30;254,30;254,30;254,30;1,26
men;Bladder;80-84;1990;70;266,40;266,40;266,40;266,40;1,32
men;Bladder;80-84;1991;69;253,20;253,20;253,20;253,20;1,26
men;Bladder;80-84;1992;64;228,00;228,00;228,00;228,00;1,13
men;Bladder;80-84;1993;77;271,60;271,60;271,60;271,60;1,35
men;Bladder;80-84;1994;96;337,30;337,30;337,30;337,30;1,67
men;Bladder;80-84;1995;81;283,80;283,80;283,80;283,80;1,41
men;Bladder;80-84;1996;68;240,80;240,80;240,80;240,80;1,20
men;Bladder;80-84;1997;83;296,80;296,80;296,80;296,80;1,47
men;Bladder;80-84;1998;71;252,80;252,80;252,80;252,80;1,26
men;Bladder;80-84;1999;64;229,30;229,30;229,30;229,30;1,14
men;Bladder;80-84;2000;62;218,20;218,20;218,20;218,20;1,09
men;Bladder;80-84;2001;74;245,90;245,90;245,90;245,90;1,22
men;Bladder;80-84;2002;86;271,30;271,30;271,30;271,30;1,35
men;Bladder;80-84;2003;85;253,50;253,50;253,50;253,50;1,26
men;Bladder;80-84;2004;93;257,40;257,40;257,40;257,40;1,28
men;Bladder;80-84;2005;108;279,20;279,20;279,20;279,20;1,39
men;Bladder;80-84;2006;114;278,90;278,90;278,90;278,90;1,38
men;Bladder;80-84;2007;116;269,30;269,30;269,30;269,30;1,34
men;Bladder;80-84;2008;122;268,10;268,10;268,10;268,10;1,33
men;Bladder;80-84;2009;112;233,90;233,90;233,90;233,90;1,16
men;Bladder;80-84;2010;145;290,90;290,90;290,90;290,90;1,44
men;Bladder;80-84;2011;143;276,70;276,70;276,70;276,70;1,37
men;Bladder;80-84;2012;147;276,90;276,90;276,90;276,90;1,37
men;Bladder;80-84;2013;130;241,90;241,90;241,90;241,90;1,20
men;Bladder;80-84;2014;122;224,70;224,70;224,70;224,70;1,12
men;Bladder;80-84;2015;140;252,80;252,80;252,80;252,80;1,26
men;Bladder;80-84;2016;142;251,50;251,50;251,50;251,50;1,25
men;Bladder;85plus;1953;3;98,70;98,70;98,70;98,70;-
men;Bladder;85plus;1954;3;98,50;98,50;98,50;98,50;-
men;Bladder;85plus;1955;0;0,00;0,00;0,00;0,00;-
men;Bladder;85plus;1956;3;92,40;92,40;92,40;92,40;-
men;Bladder;85plus;1957;4;119,40;119,40;119,40;119,40;-
men;Bladder;85plus;1958;3;87,10;87,10;87,10;87,10;-
men;Bladder;85plus;1959;4;113,50;113,50;113,50;113,50;-
men;Bladder;85plus;1960;3;82,90;82,90;82,90;82,90;-
men;Bladder;85plus;1961;6;161,30;161,30;161,30;161,30;-
men;Bladder;85plus;1962;2;53,00;53,00;53,00;53,00;-
men;Bladder;85plus;1963;4;105,40;105,40;105,40;105,40;-
men;Bladder;85plus;1964;3;79,70;79,70;79,70;79,70;-
men;Bladder;85plus;1965;5;135,60;135,60;135,60;135,60;-
men;Bladder;85plus;1966;2;53,60;53,60;53,60;53,60;-
men;Bladder;85plus;1967;6;154,60;154,60;154,60;154,60;-
men;Bladder;85plus;1968;7;173,40;173,40;173,40;173,40;-
men;Bladder;85plus;1969;9;214,60;214,60;214,60;214,60;-
men;Bladder;85plus;1970;3;69,00;69,00;69,00;69,00;-
men;Bladder;85plus;1971;13;287,50;287,50;287,50;287,50;-
men;Bladder;85plus;1972;13;275,40;275,40;275,40;275,40;-
men;Bladder;85plus;1973;8;162,20;162,20;162,20;162,20;-
men;Bladder;85plus;1974;4;78,10;78,10;78,10;78,10;-
men;Bladder;85plus;1975;13;246,40;246,40;246,40;246,40;-
men;Bladder;85plus;1976;19;345,90;345,90;345,90;345,90;-
men;Bladder;85plus;1977;11;189,20;189,20;189,20;189,20;-
men;Bladder;85plus;1978;17;278,20;278,20;278,20;278,20;-
men;Bladder;85plus;1979;19;294,90;294,90;294,90;294,90;-
men;Bladder;85plus;1980;14;204,70;204,70;204,70;204,70;-
men;Bladder;85plus;1981;12;166,10;166,10;166,10;166,10;-
men;Bladder;85plus;1982;15;195,40;195,40;195,40;195,40;-
men;Bladder;85plus;1983;16;194,90;194,90;194,90;194,90;-
men;Bladder;85plus;1984;20;226,20;226,20;226,20;226,20;-
men;Bladder;85plus;1985;24;257,50;257,50;257,50;257,50;-
men;Bladder;85plus;1986;16;163,40;163,40;163,40;163,40;-
men;Bladder;85plus;1987;30;288,10;288,10;288,10;288,10;-
men;Bladder;85plus;1988;31;282,20;282,20;282,20;282,20;-
men;Bladder;85plus;1989;32;276,50;276,50;276,50;276,50;-
men;Bladder;85plus;1990;33;272,80;272,80;272,80;272,80;-
men;Bladder;85plus;1991;39;308,20;308,20;308,20;308,20;-
men;Bladder;85plus;1992;35;261,70;261,70;261,70;261,70;-
men;Bladder;85plus;1993;40;283,80;283,80;283,80;283,80;-
men;Bladder;85plus;1994;56;374,90;374,90;374,90;374,90;-
men;Bladder;85plus;1995;55;347,60;347,60;347,60;347,60;-
men;Bladder;85plus;1996;61;367,90;367,90;367,90;367,90;-
men;Bladder;85plus;1997;55;317,90;317,90;317,90;317,90;-
men;Bladder;85plus;1998;55;308,80;308,80;308,80;308,80;-
men;Bladder;85plus;1999;54;297,10;297,10;297,10;297,10;-
men;Bladder;85plus;2000;70;378,30;378,30;378,30;378,30;-
men;Bladder;85plus;2001;60;320,00;320,00;320,00;320,00;-
men;Bladder;85plus;2002;67;352,00;352,00;352,00;352,00;-
men;Bladder;85plus;2003;51;262,30;262,30;262,30;262,30;-
men;Bladder;85plus;2004;56;282,90;282,90;282,90;282,90;-
men;Bladder;85plus;2005;59;285,20;285,20;285,20;285,20;-
men;Bladder;85plus;2006;75;338,50;338,50;338,50;338,50;-
men;Bladder;85plus;2007;85;360,60;360,60;360,60;360,60;-
men;Bladder;85plus;2008;96;381,10;381,10;381,10;381,10;-
men;Bladder;85plus;2009;83;307,60;307,60;307,60;307,60;-
men;Bladder;85plus;2010;98;339,00;339,00;339,00;339,00;-
men;Bladder;85plus;2011;99;319,60;319,60;319,60;319,60;-
men;Bladder;85plus;2012;109;330,40;330,40;330,40;330,40;-
men;Bladder;85plus;2013;129;367,30;367,30;367,30;367,30;-
men;Bladder;85plus;2014;126;337,40;337,40;337,40;337,40;-
men;Bladder;85plus;2015;147;371,80;371,80;371,80;371,80;-
men;Bladder;85plus;2016;139;333,40;333,40;333,40;333,40;-
